spleten,405689
sporočiti,405668
napad,405496
delovati,403978
vodstvo,403630
avtomobil,400232
slediti,399616
poročilo,399166
verjetno,398137
javnost,397853
nastop,397605
volja,396881
hkrati,396221
uporaba,395937
pisati,395633
zanimiv,393201
trener,392283
priložnost,388725
tokrat,388614
približno,388162
številka,387671
zaposlen,386531
lastnik,385574
postaviti,385540
pogovor,384418
spremeniti,381746
dolgo,381705
toliko,379746
razmera,379592
šport,379150
september,377760
promet,377572
izdelek,376770
nizek,376583
medij,376459
isti,376091
uspešen,375832
takoj,375173
prvič,375086
sobota,374863
pokal,374791
delavec,374319
poudariti,373232
tisoč,372791
trenutek,372745
raven,371703
posebej,371589
razlog,371096
vrh,370072
nekoliko,369180
dodaten,368125
največ,367777
omenjen,367244
junij,366957
pol,366921
težko,365623
dvorana,365192
tuj,365179
podlaga,365058
stati,364863
edin,364688
zdravstven,364593
pogosto,364307
hrvaški,363403
bel,363266
poznati,363175
zunanji,362722
socialen,362698
prepričan,361532
vrata,360890
prejeti,359936
osnoven,358731
Janez,358646
rešitev,357999
glasba,356961
tekmovanje,356282
župan,356227
problem,355878
opraviti,355375
delnica,353645
milijarda,353623
smeti,353088
črn,352814
mali,352694
pogoj,352272
finale,350882
prodati,350880
Slovenec,350692
pripravljen,350526
seja,350042
ukrep,349608
maj,348748
Kranj,348347
glas,347641
vodja,347542
kultura,347128
strošek,346636
poslanec,346461
poročati,345962
glava,345788
odbor,345522
nihče,345448
današnji,345145
oktober,344351
nedelja,344004
preveč,343962
hud,343616
doma,343484
zavod,343032
marec,342801
prijatelj,341398
težek,341288
znova,340807
člen,340779
posledica,340648
francoski,340421
kandidat,340320
doslej,340141
jasen,340075
pač,339484
ponudba,338653
nesreča,337700
razstava,336856
umreti,336308
oblast,335729
oddaja,334495
rast,334465
priprava,333770
potrditi,333651
zgodovina,333114
skozi,332488
dolar,331786
hiter,331540
december,330263
tu,329891
reprezentanca,329327
januar,328514
lasten,328147
konferenca,327823
nastopiti,327394
telo,327125
ocena,326573
april,326007
delovanje,325371
enak,325333
izkušnja,324370
glasben,324309
festival,324156
dejanje,324076
strokoven,324062
telefon,322786
odpreti,322399
pogled,321696
uspeh,321354
storitev,320901
stanje,320100
petek,319871
Koper,319580
celoten,319194
bolezen,319192
zagotoviti,319143
italijanski,318323
poslati,318129
obisk,317304
iskati,317108
znati,316791
posamezen,316619
zapisati,315640
serija,315513
zbor,314019
očitno,313414
TV,311697
mož,311457
Nemčija,311337
podpora,310692
fotografija,309554
namen,309366
osvojiti,307653
povezan,307352
kakor,306784
plača,306689
stoletje,306154
zgolj,305986
sedem,305140
o.,304757
želja,304517
d.,304228
november,303945
delež,303694
ulica,303550
rdeč,303195
skupnost,302176
RTV,302147
pozno,302107
prireditev,302037
prihajati,300812
m,300696
stanovanje,299939
energija,298898
gospodarstvo,298480
sodnik,298145
lanski,298048
oče,297966
starš,297929
upati,297489
odprt,297344
vzeti,296740
jezik,296081
višina,294026
predstava,293997
ruski,293961
odgovor,293833
kmalu,293727
ravno,293664
portal,293571
prek,293113
dejstvo,292913
naloga,292702
mnog,292251
izmed,292135
akcija,291350
avgust,291149
povečati,291149
praven,290730
trgovina,290269
izid,290134
boj,289907
predlagati,289885
red,289603
storiti,289464
Italija,288899
EUR,288740
zdravnik,288714
turnir,288660
sila,288397
gradnja,288307
namenjen,288217
omogočati,287527
opozoriti,286301
zahteva,286119
zlasti,285907
napaka,285008
odstoten,284463
članica,283943
prost,283931
prednost,283363
osem,283190
polovica,283187
drugačen,283178
februar,282663
smrt,282016
sreda,281674
hrana,281667
verjeti,280756
notranji,280747
račun,280283
barva,279807
olimpijski,279560
lokalen,279536
kdaj,278759
tema,278036
slišati,277880
uraden,277823
občinski,277223
oprema,277013
julij,276947
temveč,276246
poln,276055
sedaj,275231
oči,275226
pesem,273687
gol,273180
čim,272456
enota,272393
sreča,272316
enkrat,272272
noč,272125
primeren,272124
izbrati,272064
pripravljati,271882
gledati,271282
zmagati,270920
varnost,270477
razlika,270155
dirka,269738
včasih,269519
ponedeljek,269259
napoved,269104
nastati,268032
nadzor,268030
četrtek,267548
poskrbeti,267271
Olimpija,266566
trenutno,266504
koncert,265924
ljubezen,265758
pridobiti,265476
Hrvaška,265311
tiskoven,264472
obstajati,264403
potreba,264074
zbrati,263438
MMC,263265
zdravje,263260
razumeti,262431
vožnja,262133
nogometen,261437
voznik,261278
nacionalen,261273
organ,261015
prevzeti,260918
kasno,260710
napovedati,260079
pasti,259816
spremljati,259814
skrbeti,259671
poskušati,259445
premier,259138
turističen,258702
premagati,258375
kupiti,258289
objekt,258079
drugače,257628
močno,257436
zadovoljen,257136
strokovnjak,256803
odličen,256407
znanje,256214
model,255625
republika,255182
Peter,255035
vplivati,254900
izjava,254833
dogovor,254461
kriza,254084
vir,253916
parlament,252793
ukvarjati,252720
škoda,252671
novinar,252436
kilometer,251567
nakup,251452
novica,250274
razen,250105
prihodnost,250031
prinesti,249812
sodoben,249414
stopnja,249230
nadaljevanje,249032
cerkev,248786
srce,247969
večer,247392
Rusija,246624
narava,246482
kazen,246246
srednji,246201
rok,244624
torek,244261
skušati,243743
prometen,243071
vojaški,242781
Andrej,241362
možen,241018
širok,240951
dnevnik,239979
zlat,239485
ostajati,239444
popolnoma,239244
korak,239237
avtor,239144
smer,238993
pustiti,238715
bolnišnica,238587
resnica,238472
raziskava,238340
vsebina,237193
proračun,237176
objaviti,236876
multimedijski,236054
razmišljati,235331
opozarjati,235300
ponujati,235078
koliko,235062
splošen,234984
morje,234977
žrtev,234826
uporabnik,234080
Francija,233773
interaktiven,233399
ponuditi,232790
razred,232673
proces,232547
poškodba,232494
priznati,232218
New,231791
pravilo,231548
mera,231136
žival,230541
četrti,230484
prebivalec,230359
ustrezen,230115
odpraviti,229852
najmanj,229727
partner,229465
moštvo,229004
občutek,228980
posameznik,228921
motor,228190
žena,228148
zanimati,228139
držati,228000
pravzaprav,227669
namesto,227339
fant,227228
vprašati,227193
spomniti,226679
okrog,225933
unija,225922
vas,225500
vojska,225488
kje,225173
blizu,224848
nekdo,224559
spomin,224262
obramba,224027
dajati,223472
univerza,223379
podpis,223208
pomen,223076
naprava,222922
vreme,222660
postaja,222476
znašati,222455
ostal,222237
dekle,222191
gledalec,221722
pregled,221114
britanski,220828
ustvariti,220108
jasno,219817
plačati,219371
sklep,218845
spoznati,218843
pripeljati,218461
naraven,218066
hotel,217765
poraz,217379
sindikat,217066
odgovoriti,216723
kmetijski,216688
zagotovo,216364
središče,215974
ustaven,215543
interes,215271
policijski,214496
posel,214349
sporočilo,214273
minul,213828
uporabiti,213675
Jože,213079
dokument,213002
noga,212650
zavedati,212206
zelen,211977
imenovati,211701
skleniti,211594
ustaviti,211327
km,211155
poslovanje,211114
Avstrija,211027
sporazum,210928
državljan,210747
muzej,210662
list,210597
razpis,210533
primerjava,210459
opravljati,210428
tujina,210301
oditi,210246
študent,210216
razmerje,209847
soba,209555
letalo,209527
Gorica,209329
nazaj,208629
družben,208397
udeležiti,208290
proizvodnja,208229
dogajati,208199
bogat,208157
obiskovalec,208004
dvoboj,207841
oz.,207557
tehnologija,207293
sin,207240
reden,207044
kariera,207014
ključen,206700
morebiten,206561
obiskati,206408
tla,205976
filmski,205796
odločati,205657
povezava,205637
volilen,205462
preživeti,205280
rešiti,205267
sedež,204904
upoštevati,204418
gotovo,204212
preiskava,203941
lestvica,203563
št.,203457
avstrijski,203270
vodilen,202804
sredi,202311
strinjati,201977
tel.,201816
besedilo,201397
šolski,201315
kakovost,201026
žal,200606
povzročiti,200596
izkazati,200344
revija,200248
sto,200163
vpliv,200132
kajti,199850
znajti,199842
peti,199730
avto,199728
vseeno,199697
soditi,199580
prispevati,199422
odvisen,199297
vendarle,199247
opaziti,198996
pogledati,198888
varnosten,198877
zaseben,198714
miza,198219
vino,198192
zdravilo,197866
trditi,197817
varstvo,197769
pojaviti,197705
izobraževanje,197674
ideja,197666
življenjski,197166
novinarski,197119
kolo,197033
misel,196874
lev,196652
ponovno,196593
pozabiti,196073
dobiček,195887
predstavitev,195653
bolnik,195533
izbran,195505
podoba,195441
ogledati,195037
Marko,194844
gibanje,194552
zmanjšati,194500
mariborski,194325
urad,194001
sedanji,193856
uvrstiti,193554
skok,193525
RS,193473
nositi,193286
prispevek,193284
večkrat,193048
sekunda,192898
name,192770
